"Date","Price","Open","High","Low","Change %"
"Apr 29, 2020","8.6621","8.6811","8.7228","8.6325","-0.15%"
"Apr 28, 2020","8.6748","8.6852","8.7601","8.6684","-0.04%"
"Apr 27, 2020","8.6780","8.6286","8.6981","8.5878","0.64%"
"Apr 24, 2020","8.6228","8.5747","8.6473","8.5611","0.56%"
"Apr 23, 2020","8.5750","8.6072","8.6410","8.5526","-0.34%"
"Apr 22, 2020","8.6043","8.5831","8.6680","8.5567","0.28%"
"Apr 21, 2020","8.5801","8.6315","8.6493","8.5464","-0.52%"
"Apr 20, 2020","8.6252","8.6678","8.6810","8.5552","-0.42%"
"Apr 17, 2020","8.6616","8.6448","8.6898","8.5141","0.24%"
"Apr 16, 2020","8.6409","8.6490","8.6882","8.6011","-0.04%"
"Apr 15, 2020","8.6444","8.6040","8.7080","8.5585","0.49%"
"Apr 14, 2020","8.6023","8.4731","8.6236","8.4621","1.62%"
"Apr 13, 2020","8.4649","8.3477","8.5185","8.3445","1.52%"
"Apr 10, 2020","8.3380","8.3152","8.4003","8.2953","0.33%"
"Apr 09, 2020","8.3107","8.3906","8.4136","8.2488","-0.87%"
"Apr 08, 2020","8.3840","8.3331","8.4195","8.3147","0.77%"
"Apr 07, 2020","8.3202","8.2951","8.3747","8.2322","0.37%"
"Apr 06, 2020","8.2894","8.2587","8.3676","8.2211","0.48%"
"Apr 03, 2020","8.2498","8.2003","8.2999","8.1587","0.65%"
"Apr 02, 2020","8.1968","8.2961","8.3545","8.1454","-1.14%"
"Apr 01, 2020","8.2914","8.2154","8.3244","8.1680","1.00%"
"Mar 31, 2020","8.2095","8.1678","8.2350","8.0512","0.59%"
"Mar 30, 2020","8.1615","8.0357","8.1888","7.9973","1.54%"
"Mar 27, 2020","8.0379","7.8084","8.0583","7.7581","3.02%"
"Mar 26, 2020","7.8022","7.6279","7.8285","7.5599","2.40%"
"Mar 25, 2020","7.6191","7.5496","7.6783","7.5131","0.97%"
"Mar 24, 2020","7.5460","7.5778","7.6564","7.5065","-0.36%"
"Mar 23, 2020","7.5732","7.6403","7.7127","7.5220","-0.68%"
"Mar 20, 2020","7.6254","7.5167","7.8021","7.4583","1.53%"
